Day,Arsenal,AstonVilla,Burnley,Brentford,Brighton,Chelsea,CrystalPalace,Everton,NorwichCity,LeedsUnited,LeicesterCity,Liverpool,ManchesterCity,ManchesterUtd,Newcastle,Watford,Southampton,Tottenham,WestHam,Wolves
2022-01-07,16,6,2,2,15,7,1,3,1,3,2,8,14,7,8,3,7,5,3,5
2022-01-08,18,5,8,6,20,20,8,11,2,4,10,9,9,9,15,8,13,6,4,6
2022-01-09,43,5,3,2,17,9,2,4,5,11,3,21,6,9,8,3,8,20,14,11
2022-01-10,15,35,3,2,13,6,1,3,2,3,1,8,5,31,7,2,8,6,4,5
2022-01-11,13,16,3,15,13,7,1,3,2,3,2,7,4,9,7,2,21,5,3,5
2022-01-12,14,5,3,5,15,22,1,3,8,3,1,8,4,6,7,2,10,32,18,4
2022-01-13,43,4,5,1,22,9,1,2,4,2,2,20,4,10,11,2,11,10,5,4
2022-01-14,24,4,4,2,29,6,9,2,1,3,1,10,4,4,6,3,6,5,3,4
2022-01-15,22,60,4,4,21,33,4,13,12,4,2,10,34,30,14,8,12,8,4,13
2022-01-16,30,25,4,82,24,11,2,12,4,25,2,32,10,11,11,5,12,14,29,11
2022-01-17,12,4,3,7,13,5,1,4,1,4,1,7,3,4,6,2,6,4,3,5
2022-01-18,13,3,4,4,41,14,1,3,1,3,1,6,3,6,6,3,6,5,2,5
2022-01-19,16,3,2,57,22,8,1,3,1,3,11,7,5,21,6,2,6,20,2,5
2022-01-20,49,3,2,28,13,6,1,3,1,3,5,20,4,11,7,2,6,13,3,5
2022-01-21,22,3,3,4,14,6,1,3,10,4,2,11,4,6,7,12,7,5,4,5
2022-01-22,17,24,4,19,15,8,2,21,6,14,2,9,23,34,12,6,38,7,47,15
2022-01-23,36,5,26,5,25,23,27,4,1,4,7,20,8,8,7,3,14,33,8,7
2022-01-24,10,3,3,2,12,6,3,3,1,2,2,6,4,4,6,3,6,6,3,4
2022-01-25,10,2,2,2,11,5,1,3,1,3,1,6,3,5,6,3,6,4,2,4
2022-01-26,11,2,2,2,12,5,1,3,1,3,1,6,3,5,6,2,6,4,3,5
2022-01-27,12,2,2,1,13,5,1,3,1,3,1,6,3,7,7,2,6,4,3,5
2022-01-28,14,3,3,2,14,5,1,4,1,3,1,8,3,5,8,2,7,5,3,6
2022-01-29,16,3,3,2,15,7,1,5,1,4,1,9,4,9,9,2,8,6,3,7
2022-01-30,17,3,3,2,17,6,1,6,1,4,1,10,4,11,9,2,7,7,4,6
2022-01-31,24,3,4,6,13,8,1,6,1,7,1,8,4,10,10,2,8,7,5,7
2022-02-01,15,2,3,3,13,7,1,5,1,3,1,8,3,8,8,2,7,4,3,5
2022-02-02,9,2,2,2,14,5,1,4,1,3,1,7,3,7,7,2,7,4,2,5
2022-02-03,8,2,2,2,14,5,1,3,1,2,1,6,4,6,7,2,7,4,2,8
2022-02-04,9,2,3,2,15,6,1,3,1,2,1,7,5,29,6,2,7,4,2,9
2022-02-05,10,2,11,11,35,24,4,14,6,3,1,10,14,15,6,7,12,18,17,14
2022-02-06,8,2,4,4,21,9,2,7,2,3,10,21,6,7,6,3,7,8,4,9
2022-02-07,7,2,4,2,14,6,1,5,1,3,3,8,4,7,7,3,7,4,3,7
2022-02-08,9,2,50,4,14,12,1,17,2,3,2,7,5,20,16,8,7,4,18,6
2022-02-09,9,13,20,19,13,40,6,7,9,9,1,7,13,10,9,4,18,17,9,6
2022-02-10,24,6,3,8,11,9,2,3,3,4,14,17,5,5,5,2,10,7,4,18
2022-02-11,18,3,3,4,14,11,2,3,2,3,7,11,4,7,6,3,9,4,4,12
2022-02-12,12,3,5,11,21,92,4,16,35,10,2,10,15,32,7,5,72,5,4,8
2022-02-13,10,14,42,3,14,16,1,5,8,3,10,22,7,7,15,3,10,21,17,23
2022-02-14,8,2,5,2,15,7,1,2,2,2,2,8,5,7,7,2,7,4,4,7
2022-02-15,8,1,3,2,80,7,1,2,1,2,1,9,47,32,6,2,7,3,2,6
2022-02-16,8,1,2,2,37,6,1,2,1,2,1,38,14,13,6,2,6,3,2,6
2022-02-17,7,1,2,2,16,5,1,2,1,2,6,15,5,5,6,2,8,3,3,6
2022-02-18,8,2,3,3,22,5,2,3,2,3,3,9,5,7,7,3,9,4,3,7
2022-02-19,30,10,8,26,23,17,19,9,33,6,2,25,35,8,14,6,17,41,19,8
2022-02-20,11,2,4,5,16,7,3,3,6,63,9,11,13,28,8,3,8,14,4,21
2022-02-21,8,2,4,2,14,6,1,2,2,7,2,8,5,7,7,3,7,5,2,8
2022-02-22,7,1,6,2,13,24,1,3,1,4,1,8,5,7,6,2,7,5,2,6
2022-02-23,8,1,25,2,14,11,6,3,1,27,1,25,7,30,6,7,7,22,2,6
2022-02-24,32,1,8,2,13,6,2,2,1,9,6,11,5,9,6,3,7,8,2,23
2022-02-25,17,2,3,2,14,6,2,3,7,3,2,8,4,6,6,3,18,4,3,13
2022-02-26,12,12,9,20,32,12,6,30,4,33,2,12,24,25,12,50,9,29,3,8
2022-02-27,11,3,3,4,14,63,2,6,1,10,2,66,8,9,7,6,7,5,16,16
2022-02-28,8,1,3,2,14,12,2,3,1,6,2,14,5,4,6,2,7,4,3,6
2022-03-01,8,1,16,1,13,6,6,4,2,4,8,9,14,6,7,2,7,19,2,5
2022-03-02,8,1,5,1,13,21,2,3,24,3,3,19,6,5,7,2,17,9,10,5
2022-03-03,7,1,3,2,16,12,1,14,10,3,1,10,4,5,7,3,9,3,4,6
2022-03-04,7,2,4,2,15,8,1,5,2,3,1,8,5,5,7,3,7,3,2,7
2022-03-05,10,14,35,10,24,20,5,3,7,15,11,24,9,9,13,4,15,4,27,13
2022-03-06,37,4,7,4,16,8,2,3,2,4,2,11,61,48,7,21,7,5,7,7
2022-03-07,12,2,3,2,14,6,1,18,1,3,1,8,11,9,6,4,7,25,2,5
2022-03-08,9,2,3,1,12,6,1,9,1,2,1,36,7,5,6,2,7,11,2,5
2022-03-09,8,2,2,1,12,7,1,5,1,3,1,16,37,6,6,2,7,4,3,5
2022-03-10,7,12,3,1,12,21,1,4,21,11,6,8,12,6,11,5,18,4,17,13
2022-03-11,8,6,3,2,17,12,1,3,8,5,3,8,5,7,8,4,9,4,4,8
2022-03-12,12,3,10,15,67,12,1,4,2,4,2,24,10,35,7,3,8,62,3,7
2022-03-13,40,12,4,3,19,23,2,13,8,15,15,9,8,12,20,6,14,16,14,15
2022-03-14,13,2,2,2,14,9,20,4,1,4,3,8,24,8,7,2,7,5,3,6
2022-03-15,12,1,2,1,14,9,8,3,1,3,1,10,14,36,6,2,5,4,2,5
2022-03-16,51,1,2,1,35,28,1,4,1,3,1,28,6,12,6,2,7,20,3,5
2022-03-17,20,2,2,1,19,12,1,20,1,2,7,14,5,5,14,2,6,8,22,6
2022-03-18,10,2,2,2,14,11,1,10,1,15,4,10,6,5,9,2,7,5,13,21
2022-03-19,41,25,2,3,16,22,2,4,1,10,2,11,8,9,6,3,8,5,5,14
2022-03-20,13,3,2,13,13,10,12,13,1,4,9,26,21,8,6,2,36,25,19,7
2022-03-21,9,1,2,2,13,6,2,3,1,3,2,10,6,4,6,2,9,6,4,6
2022-03-22,8,1,2,1,13,6,1,2,1,2,1,7,4,4,6,2,6,3,2,5
2022-03-23,9,1,2,1,12,6,1,2,1,2,1,7,4,5,6,2,7,3,2,5
2022-03-24,7,1,2,1,13,5,1,2,1,2,1,6,4,5,6,2,6,3,2,6
2022-03-25,6,1,2,1,15,5,1,2,1,2,1,7,3,5,6,2,6,3,1,6
2022-03-26,7,1,2,2,16,5,1,2,1,2,1,10,4,4,5,2,6,3,2,6
2022-03-27,7,1,2,1,15,5,1,2,1,2,2,7,4,6,5,2,6,3,2,7
2022-03-28,6,1,2,1,14,5,1,1,1,2,1,6,3,3,6,2,6,2,2,5
2022-03-29,6,1,2,1,14,5,1,1,1,2,1,6,3,4,6,2,6,3,1,5
2022-03-30,7,1,2,1,14,4,1,2,1,2,1,6,3,3,6,2,6,3,1,5
2022-03-31,8,1,2,2,15,4,1,1,1,2,1,6,3,5,5,2,6,3,1,5
2022-04-01,7,1,3,2,15,5,1,2,1,2,1,7,4,5,6,3,6,3,2,5
2022-04-02,11,10,43,72,23,24,2,3,5,13,48,27,30,25,6,43,15,4,3,16
2022-04-03,16,2,5,10,14,8,2,15,1,4,8,8,8,6,18,4,7,35,18,7
2022-04-04,44,1,3,3,15,6,29,3,1,3,2,8,6,5,7,2,7,7,3,5
2022-04-05,15,1,3,2,14,9,9,4,1,2,1,35,62,7,6,2,7,4,2,5
2022-04-06,7,1,24,2,14,66,2,20,1,2,1,14,20,6,6,2,7,3,3,5
2022-04-07,6,1,8,2,14,18,1,8,1,2,8,8,7,4,6,2,6,3,24,5
2022-04-08,8,1,3,2,16,6,1,4,1,3,3,8,6,6,15,3,8,3,7,16
2022-04-09,40,21,5,3,57,25,2,70,2,13,2,13,14,26,8,8,67,30,4,8
2022-04-10,10,4,11,19,21,8,10,7,11,4,11,78,86,7,6,3,12,9,12,6
2022-04-11,6,1,3,3,15,7,2,3,2,3,2,13,13,4,6,2,7,3,3,4
2022-04-12,6,1,2,2,14,100,1,3,1,2,1,11,15,5,5,2,7,4,2,5
2022-04-13,6,1,2,2,14,29,1,3,1,2,1,47,94,6,6,2,7,3,3,6
2022-04-14,5,1,2,1,11,6,1,12,1,3,14,16,10,8,12,2,8,4,35,6
2022-04-15,6,1,9,2,12,6,2,9,1,4,4,11,4,9,13,3,8,4,15,6
2022-04-16,31,2,6,9,36,8,4,3,100,5,2,72,32,63,14,8,38,33,7,7
2022-04-17,9,2,23,2,12,32,54,3,7,5,12,15,6,14,34,3,9,6,25,7
2022-04-18,5,1,6,1,11,7,5,3,1,4,2,11,3,12,14,2,7,3,5,6
2022-04-19,8,1,4,1,11,6,2,3,1,4,2,66,5,47,13,2,7,4,3,6
2022-04-20,46,1,4,1,45,30,7,13,1,4,9,23,11,19,26,2,7,4,4,6
2022-04-21,18,1,23,1,18,10,2,5,1,4,4,9,4,13,17,2,17,4,3,7
2022-04-22,10,2,8,2,11,6,1,3,1,5,2,9,3,12,13,3,9,4,3,6
2022-04-23,100,11,5,25,12,8,1,5,9,5,12,13,12,55,31,40,7,29,5,7
2022-04-24,15,3,19,4,19,23,2,63,1,6,2,41,4,12,15,5,16,7,47,17
2022-04-25,8,1,6,1,10,6,13,10,1,21,1,12,5,9,13,2,7,4,6,7
2022-04-26,7,1,3,1,9,7,3,4,1,7,1,12,67,12,14,2,7,3,4,6
2022-04-27,6,1,3,1,9,6,1,4,1,3,1,70,18,10,12,2,6,3,4,8
2022-04-28,7,1,3,1,9,41,1,2,1,4,13,22,6,33,13,2,7,4,46,6
2022-04-29,7,2,3,1,10,13,1,3,1,5,5,11,4,12,15,2,8,4,14,7
2022-04-30,9,10,14,1,18,7,6,6,8,81,2,39,17,13,86,7,15,5,6,16
2022-05-01,41,3,7,3,12,23,2,47,2,16,18,13,6,11,18,3,9,30,46,7
2022-05-02,11,2,3,100,11,6,1,7,1,5,3,11,5,31,14,2,7,6,7,6
2022-05-03,8,1,3,33,10,6,1,4,1,4,2,86,10,16,13,2,7,4,4,6
2022-05-04,7,1,3,2,9,7,1,3,1,4,2,29,100,10,13,2,7,5,4,5
2022-05-05,7,1,3,1,9,6,1,10,1,4,15,16,24,8,13,2,7,4,52,5
2022-05-06,7,2,3,2,11,6,1,7,1,3,6,13,5,9,13,2,8,5,15,6
2022-05-07,12,10,18,10,100,25,7,4,1,7,2,49,7,38,15,6,14,61,5,52
2022-05-08,42,3,6,2,25,10,2,21,9,58,16,20,16,15,81,3,7,19,16,10
2022-05-09,9,2,3,1,11,6,1,4,1,7,2,11,5,8,19,2,7,5,3,6
2022-05-10,8,60,2,1,10,6,1,3,1,5,1,38,5,9,13,2,7,4,3,7
2022-05-11,9,15,4,1,11,18,1,15,7,51,9,17,15,18,14,9,7,6,3,60
2022-05-12,52,2,4,1,9,9,1,5,2,15,3,11,6,14,14,4,6,55,3,22
2022-05-13,18,2,3,1,10,8,1,3,1,4,1,12,3,12,15,2,7,18,3,7
2022-05-14,9,2,4,1,11,71,2,5,1,6,1,91,4,13,14,2,7,7,5,7
2022-05-15,11,12,44,21,20,14,7,26,5,33,10,27,21,15,14,9,8,35,100,12
2022-05-16,42,3,6,3,10,6,2,5,1,6,2,13,4,11,57,2,8,8,8,6
2022-05-17,17,3,3,1,9,6,2,3,1,5,1,43,4,10,25,2,100,6,4,6
2022-05-18,7,4,4,1,9,6,2,4,1,4,2,17,3,9,14,2,29,4,3,6
2022-05-19,7,16,22,1,9,18,15,30,1,7,29,10,3,10,13,2,8,4,2,5
2022-05-20,6,6,9,2,10,8,7,17,1,7,10,11,3,9,13,2,7,5,3,6
2022-05-21,8,5,5,2,10,6,4,6,1,6,2,17,6,15,15,3,8,5,3,8
2022-05-22,28,78,23,11,18,15,48,22,19,36,8,74,47,45,24,20,12,33,16,100
2022-05-23,8,9,5,2,10,6,5,4,2,10,2,13,7,15,13,4,7,6,3,10
2022-05-24,7,3,3,1,8,6,1,2,1,6,1,11,3,10,13,2,6,4,2,6
